;id;title;authors;identifier;publisher;img_url;creator_id;identifier_type
1;1;The German Army at Passchendaele;Jack Sheldon;1844155641;Pen and Sword;http://ecx.images-amazon.com/images/I/51X5FU4bmlL._SL160_.jpg;1;ASIN
2;2;The German Army at Ypres 1914;Jack Sheldon;1848841132;Pen & Sword Military;http://ecx.images-amazon.com/images/I/51E0-xym6AL._SL160_.jpg;1;ASIN
3;3;Passendale,slagveld van Wereldoorlog I;P. Barton;9020969722;Terra - Lannoo;http://www.lannoo.com/media/dbimages/covers/9789020969726.jpg;1;ASIN
4;4;Guide 700 musée 14/18 Europe;S. Hervouet - L. et M. Braeuer;978-2-9533841-1-6;Editions Le Grand Blockhaus;http://librairie.memorialdeverdun.fr/images_produits/0001.jpg;1;ASIN
5;5;Soldatenfriedhof Langemarck;Pieter Jan Verstraete;9,78908E+12;groeninghedrukkerij;http://www.groeninghedrukkerij.be/Images/Boeken/4f210220-602c-48ff-a356-9c68b22b299c/cover.jpg;1;ASIN
6;6;De strijd om de heuvelrug;Vansuyt Michel;978-90-77723-89-0;Groeninghedrukkerij;http://www.groeninghedrukkerij.be/Images/Boeken/b66b2999-9ba6-41cc-ba5a-a42916526227/cover.jpg;1;ASIN
7;7;Versteende vleugels;Eddy Lambrecht;907772320X;Groeninghedrukkerij;http://www.groeninghedrukkerij.be/Images/Boeken/56aead8f-1000-4d93-a22c-6645f05290d7/cover.jpg;1;ASIN
8;8;Gruss aus Flandern;Eddy Lambrecht;90-71868-99-0;Groeninghedrukkerij;http://www.groeninghedrukkerij.be/Images/Boeken/be935f26-4dd9-4490-8986-08d0b87292a3/cover.jpg;1;ASIN
9;9;Captain Conan;Roger Vercel ;1570037132;University of South Carolina Press;http://ecx.images-amazon.com/images/I/61MssZCHRjL._SL160_.jpg;1;ASIN
10;10;Both Sides of the Wire;William Cull, Aaron Pegram;1742376169;Allen & Unwin;http://www.allenandunwin.com/BookCovers/resized_9781742376165_224_297_FitSquare.jpg;1;ASIN
11;11;When God Made Hell: The British Invasion of Mesopotamia and the Creation of Iraq, 1914-1921;Charles Townshend;978-0571237197;Faber & Faber;http://ecx.images-amazon.com/images/I/61nLgmUG0aL._SL160_.jpg;1;ASIN
12;12;Gallipoli;Peter Hart;1846681596;Profile;http://ecx.images-amazon.com/images/I/417JS3CCaOL._SL160_.jpg;1;ASIN
13;13;Handbook of Imperial Germany;Janet Robinson, Joe Robinson;978-1449021139;AuthorHouse;http://ecx.images-amazon.com/images/I/51VyM8tcgSL._SL160_.jpg;1;ASIN
14;14;The Remains of Company D: A Story of the Great War;James Carl Nelson;978-0312650414;St. Martin's Griffin;http://ecx.images-amazon.com/images/I/51piDdObcJL._SL160_.jpg;1;ASIN
15;16;Der Erste Weltkrieg: Die Ur-Katastrophe des 20. Jahrhunderts;Klaus Wiegrefe, Stephan Burgdorff;3423345128;;http://ecx.images-amazon.com/images/I/51QCYSbJnvL._SL160_.jpg;1;ASIN
16;17;Enzyklopädie Erster Weltkrieg;Gerhard Hirschfeld (Hrsg.), Gerd Krumeich (Hrsg.), Irina Renz (Hrsg.);9,78383E+12;Utb Gmbh;http://ecx.images-amazon.com/images/I/21wsPZtdq4L._SL160_.jpg;1;ASIN
17;18;World War I;HP Willmott;1405329866;Dorling Kindersley (October 1, 2008);http://ecx.images-amazon.com/images/I/61SQSFFSZSL._SL160_.jpg;1;ASIN
18;19;Histoire maritime de la première guerre mondiale;Jean-Jacques Antier, Paul Chack;2704806985;France-Empire (1992);http://ecx.images-amazon.com/images/I/51SE7ABCRYL._SL160_.jpg;1;ASIN
19;20;Les erreurs stratégiques : Pendant la Première Guerre mondiale;Bernard Schnetzler;2717852255;Economica;http://ecx.images-amazon.com/images/I/512098ATJ7L._SL160_.jpg;1;ASIN
20;22;Monty and Rommel: Parallel Lives;Peter Caddick Adams;9,78185E+12;Preface Publishing (June 6, 2011);http://ecx.images-amazon.com/images/I/51FLev7mTrL._SL160_.jpg;1;ASIN
21;23;The Home Front: Civilian Life in World War One Revealing History;Peter G. Cooksley;752436880;Tempus (February 1, 2006);http://ecx.images-amazon.com/images/I/51EQ2CC8W3L._SL160_.jpg;1;ASIN
22;24;Home Front 1914-1918: How Britain Survived the Great War Britain at War;Ian Beckett;1903365813;The National Archives (May 24, 2006);http://ecx.images-amazon.com/images/I/51HQ0BE1CHL._SL160_.jpg;1;ASIN
23;25;The Somme - the unseen panorama's;Peter Barton;1849017190;Constable (February 24, 2011);http://ecx.images-amazon.com/images/I/51N4H0V5NYL._SL160_.jpg;1;ASIN
24;29;WALKING THE SALIENT (Battleground Europe);Paul Reed;850526175;Pen and Sword (May 1999);http://ecx.images-amazon.com/images/I/41R2EF5RJGL._SL160_.jpg;1;ASIN
25;30;The Zeebrugge and Ostend Raids 1918;Deborah Lake;850528704; Pen and Sword (November 2002);http://ecx.images-amazon.com/images/I/51GR9TPJ0KL._SL160_.jpg;1;ASIN
26;31;The Great World War 1914-45: II Who Won? Who Lost?;John Bour;9,78001E+12;"HarperCollins (UK); Export ed edition (July 2002)";http://ecx.images-amazon.com/images/I/51FC636QS1L._SL160_.jpg;1;ASIN
27;33;Storm of Steel;Ernst Junger, Michael Hofmann;9,78014E+12;"Penguin Books, Limited (UK); Reprint. edition (September 2007)";http://ecx.images-amazon.com/images/I/51ZmZQqltgL._SL160_.jpg;1;ASIN
28;34;The Western Front: Then and Now - From Mons to the Marne and Back After the Battle;John Giles;900913711;After the Battle (February 1992);http://ecx.images-amazon.com/images/I/41AWA8YWT7L._SL160_.jpg;1;ASIN
